Variable	Year	Month	Value	Unit	Source	State	County	Country
Percentage of cattle with body condition thin	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of cattle with body condition thin	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of cattle with body condition borderline	2017	1	42	%	CliMIS	Jonglei		South Sudan
Percentage of cattle with body condition borderline	2017	2	100	%	CliMIS	Jonglei		South Sudan
Percentage of cattle with body condition borderline	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of cattle with body condition borderline	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of cattle with body condition moderate	2017	1	58	%	CliMIS	Jonglei		South Sudan
Percentage of cattle with body condition moderate	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of cattle with body condition moderate	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of cattle with body condition moderate	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of cattle with body condition good	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of cattle with body condition good	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of cattle with body condition good	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of cattle with body condition good	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of cattle with body condition emaciated	2017	1		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition emaciated	2017	2		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition emaciated	2017	3		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition emaciated	2017	4		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition thin	2017	1		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition thin	2017	2	13	%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition thin	2017	3		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition thin	2017	4		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition borderline	2017	1		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition borderline	2017	2	38	%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition borderline	2017	3		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition borderline	2017	4		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition moderate	2017	1	100	%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition moderate	2017	2		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition moderate	2017	3		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition moderate	2017	4		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition good	2017	1		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition good	2017	2	13	%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition good	2017	3		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition good	2017	4		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of cattle with body condition emaciated	2017	1		%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition emaciated	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition emaciated	2017	3	80	%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition emaciated	2017	4	67	%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition thin	2017	1		%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition thin	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition thin	2017	3	20	%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition thin	2017	4	33	%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition borderline	2017	1	20	%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition borderline	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition borderline	2017	3		%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition borderline	2017	4		%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition moderate	2017	1	60	%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition moderate	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition moderate	2017	3		%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition moderate	2017	4		%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition good	2017	1		%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition good	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition good	2017	3		%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition good	2017	4		%	CliMIS	Warrap		South Sudan
Percentage of cattle with body condition emaciated	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle with body condition emaciated	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle with body condition emaciated	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle with body condition emaciated	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle with body condition thin	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle with body condition thin	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle with body condition thin	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle with body condition thin	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle with body condition borderline	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle with body condition borderline	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle with body condition borderline	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle with body condition borderline	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle with body condition moderate	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle with body condition moderate	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle with body condition moderate	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle with body condition moderate	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle with body condition good	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle with body condition good	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle with body condition good	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle with body condition good	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition emaciated	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition emaciated	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition emaciated	2017	3		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition emaciated	2017	4	10	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition thin	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition thin	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition thin	2017	3	17	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition thin	2017	4	10	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition borderline	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition borderline	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition borderline	2017	3		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition borderline	2017	4	10	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition moderate	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition moderate	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition moderate	2017	3	17	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition moderate	2017	4	30	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition good	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition good	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition good	2017	3	50	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition good	2017	4	40	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat with body condition emaciated	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition emaciated	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition emaciated	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition emaciated	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition thin	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition thin	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition thin	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition thin	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition borderline	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition borderline	2017	2	20	%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition borderline	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition borderline	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition moderate	2017	1	58	%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition moderate	2017	2	80	%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition moderate	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition moderate	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition good	2017	1	42	%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition good	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition good	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition good	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of goat with body condition emaciated	2017	1		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition emaciated	2017	2		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition emaciated	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition emaciated	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition thin	2017	1		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition thin	2017	2		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition thin	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition thin	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition borderline	2017	1		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition borderline	2017	2	25	%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition borderline	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition borderline	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition moderate	2017	1	88	%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition moderate	2017	2	38	%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition moderate	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition moderate	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition good	2017	1		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition good	2017	2	25	%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition good	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition good	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat with body condition emaciated	2017	1		%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition emaciated	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition emaciated	2017	3		%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition emaciated	2017	4		%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition thin	2017	1		%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition thin	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition thin	2017	3		%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition thin	2017	4		%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition borderline	2017	1	40	%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition borderline	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition borderline	2017	3		%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition borderline	2017	4		%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition moderate	2017	1	40	%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition moderate	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition moderate	2017	3	20	%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition moderate	2017	4		%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition good	2017	1		%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition good	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition good	2017	3	80	%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition good	2017	4	100	%	CliMIS	Warrap		South Sudan
Percentage of goat with body condition emaciated	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition emaciated	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition emaciated	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition emaciated	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition thin	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition thin	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition thin	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition thin	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition borderline	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition borderline	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition borderline	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition borderline	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition moderate	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition moderate	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition moderate	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition moderate	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition good	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition good	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition good	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat with body condition good	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition emaciated	2017	1		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition emaciated	2017	2		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition emaciated	2017	3		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition emaciated	2017	4		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition thin	2017	1		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition thin	2017	2		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition thin	2017	3		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition thin	2017	4		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition borderline	2017	1		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition borderline	2017	2		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition borderline	2017	3		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition borderline	2017	4		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition moderate	2017	1		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition moderate	2017	2		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition moderate	2017	3		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition moderate	2017	4		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition good	2017	1		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition good	2017	2		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition good	2017	3		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition good	2017	4		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of poultry with body condition emaciated	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition emaciated	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition emaciated	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition emaciated	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition thin	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition thin	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition thin	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition thin	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition borderline	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition borderline	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition borderline	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition borderline	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition moderate	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition moderate	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition moderate	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition moderate	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition good	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition good	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition good	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition good	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of poultry with body condition emaciated	2017	1		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition emaciated	2017	2		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition emaciated	2017	3		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition emaciated	2017	4		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition thin	2017	1		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition thin	2017	2		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition thin	2017	3		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition thin	2017	4		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition borderline	2017	1		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition borderline	2017	2		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition borderline	2017	3		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition borderline	2017	4		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition moderate	2017	1		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition moderate	2017	2		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition moderate	2017	3		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition moderate	2017	4		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition good	2017	1		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition good	2017	2		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition good	2017	3		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition good	2017	4		%	CliMIS	Northern Bahr El Ghazal 		South Sudan
Percentage of poultry with body condition emaciated	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition emaciated	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition emaciated	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition emaciated	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition thin	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition thin	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition thin	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition thin	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition borderline	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition borderline	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition borderline	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition borderline	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition moderate	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition moderate	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition moderate	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition moderate	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition good	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition good	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition good	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry with body condition good	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of sheep with body condition emaciated	2017	1		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition emaciated	2017	2		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition emaciated	2017	3		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition emaciated	2017	4	20	%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition thin	2017	1		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition thin	2017	2		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition thin	2017	3	17	%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition thin	2017	4	20	%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition borderline	2017	1		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition borderline	2017	2		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition borderline	2017	3		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition borderline	2017	4	30	%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition moderate	2017	1		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition moderate	2017	2		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition moderate	2017	3	17	%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition moderate	2017	4	10	%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition good	2017	1		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition good	2017	2		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition good	2017	3	33	%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition good	2017	4		%	CliMIS	Eastern  Equatoria		South Sudan
Percentage of sheep with body condition emaciated	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of sheep with body condition emaciated	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of sheep with body condition emaciated	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of sheep with body condition emaciated	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of sheep with body condition thin	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of sheep with body condition thin	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of sheep with body condition thin	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of sheep with body condition thin	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of sheep with body condition borderline	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of sheep with body condition borderline	2017	2	20	%	CliMIS	Jonglei		South Sudan
Percentage of sheep with body condition borderline	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of sheep with body condition borderline	2017	4		%	CliMIS	Jonglei		South Sudan
