Country	Variable	2012	2013	2014	2015	2016	2017
South Sudan	Average working hours of children, study and work, ages 7-14 (hours per week)						
South Sudan	Average working hours of children, study and work, female, ages 7-14 (hours per week)						
South Sudan	Average working hours of children, study and work, male, ages 7-14 (hours per week)						
South Sudan	Average working hours of children, working only, ages 7-14 (hours per week)						
South Sudan	Average working hours of children, working only, female, ages 7-14 (hours per week)						
South Sudan	Average working hours of children, working only, male, ages 7-14 (hours per week)						
South Sudan	Bank capital to assets ratio (%)						
South Sudan	Bank liquid reserves to bank assets ratio (%)	179.197505242265	154.073940291227	217.71378819358898	390.110049460207	284.53839587738497	190.343160380335
South Sudan	Bank nonperforming loans to total gross loans (%)						
South Sudan	Battle-related deaths (number of people)	266.0	926.0	1674.0	493.0	735.0	465.0
South Sudan	Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits)						
South Sudan	Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits)						
South Sudan	Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits)						
South Sudan	Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits)						
South Sudan	Binding coverage, all products (%)						
South Sudan	Binding coverage, manufactured products (%)						
South Sudan	Binding coverage, primary products (%)						
South Sudan	Bird species, threatened						
South Sudan	Birth rate, crude (per 1,000 people)	37.5	37.095	36.7	36.315	35.936	
South Sudan	Births attended by skilled health staff (% of total)						
South Sudan	Borrowers from commercial banks (per 1,000 adults)	1.2880982733584698	1.5623287861537298	2.12748149724841	1.5521056890827598	1.09052726824607	0.613633934433739
South Sudan	Bound rate, simple mean, all products (%)						
South Sudan	Bound rate, simple mean, manufactured products (%)						
South Sudan	Bound rate, simple mean, primary products (%)						
South Sudan	Bribery incidence (% of firms experiencing at least one bribe payment request)			48.0			
South Sudan	Broad money (% of GDP)	19.7932255163523	14.686768138517001	17.691696957570002	38.2636944366696	28.8670563808226	
South Sudan	Broad money (current LCU)	6578674364.87	6473046189.37	7880589492.78	17065990355.699	41419318506.8957	69359956409.8656
South Sudan	Broad money growth (annual %)	34.4080853760395	-1.6056148950623301	21.7446819045021	116.55728129646201	142.700937030966	67.45798557337011
South Sudan	Broad money to total reserves ratio	1.7393932045952298	2.31507547197455	6.40913459810462	18.1545205127242	12.2995123549565	
South Sudan	Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)						
South Sudan	Business extent of disclosure index (0=less disclosure to 10=more disclosure)	2.0	2.0	2.0	2.0	2.0	2.0
South Sudan	Capture fisheries production (metric tons)	37000.0	37000.0	37000.0	37000.0	35000.0	
South Sudan	Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)				64.5	63.4	
South Sudan	Cause of death, by injury (% of total)				9.2	9.3	
South Sudan	Cause of death, by non-communicable diseases (% of total)				26.3	27.3	
South Sudan	Central government debt, total (% of GDP)						
South Sudan	Central government debt, total (current LCU)						
South Sudan	Cereal production (metric tons)	790000.0	898000.0	1270551.0	920000.0	825000.0	
South Sudan	Cereal yield (kg per hectare)	692.4	765.6	1253.7	1396.7	1511.8	
South Sudan	Changes in inventories (constant LCU)						
South Sudan	Changes in inventories (current LCU)	17000000.0	18000000.0				
South Sudan	Changes in inventories (current US$)	5762711.86440678	6101694.91525424				
South Sudan	Charges for the use of intellectual property, payments (BoP, current US$)			258600.0	520000.0	1770000.0	
South Sudan	Charges for the use of intellectual property, receipts (BoP, current US$)						
South Sudan	Chemicals (% of value added in manufacturing)						
South Sudan	Child employment in agriculture (% of economically active children ages 7-14)						
South Sudan	Child employment in agriculture, female (% of female economically active children ages 7-14)						
South Sudan	Child employment in agriculture, male (% of male economically active children ages 7-14)						
South Sudan	Child employment in manufacturing (% of economically active children ages 7-14)						
South Sudan	Child employment in manufacturing, female (% of female economically active children ages 7-14)						
South Sudan	Child employment in manufacturing, male (% of male economically active children ages 7-14)						
South Sudan	Child employment in services (% of economically active children ages 7-14)						
South Sudan	Child employment in services, female (% of female economically active children ages 7-14)						
South Sudan	Child employment in services, male (% of male economically active children ages 7-14)						
South Sudan	Children (0-14) living with HIV	13000.0	13000.0	14000.0	14000.0	14000.0	13000.0
South Sudan	Children (ages 0-14) newly infected with HIV	2500.0	2400.0	2500.0	2000.0	2300.0	1800.0
South Sudan	Children in employment, female (% of female children ages 7-14)						
South Sudan	Children in employment, male (% of male children ages 7-14)						
South Sudan	Children in employment, self-employed (% of children in employment, ages 7-14)						
South Sudan	Children in employment, self-employed, female (% of female children in employment, ages 7-14)						
South Sudan	Children in employment, self-employed, male (% of male children in employment, ages 7-14)						
South Sudan	Children in employment, study and work (% of children in employment, ages 7-14)						
South Sudan	Children in employment, study and work, female (% of female children in employment, ages 7-14)						
South Sudan	Children in employment, study and work, male (% of male children in employment, ages 7-14)						
South Sudan	Children in employment, total (% of children ages 7-14)						
South Sudan	Children in employment, unpaid family workers (% of children in employment, ages 7-14)						
South Sudan	Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)						
South Sudan	Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)						
South Sudan	Children in employment, wage workers (% of children in employment, ages 7-14)						
South Sudan	Children in employment, wage workers, female (% of female children in employment, ages 7-14)						
South Sudan	Children in employment, wage workers, male (% of male children in employment, ages 7-14)						
South Sudan	Children in employment, work only (% of children in employment, ages 7-14)						
South Sudan	Children in employment, work only, female (% of female children in employment, ages 7-14)						
South Sudan	Children in employment, work only, male (% of male children in employment, ages 7-14)						
South Sudan	Children out of school (% of primary school age)				67.8404599999999		
South Sudan	Children out of school, female (% of female primary school age)				72.23412999999991		
South Sudan	Children out of school, male (% of male primary school age)				63.550940000000004		
South Sudan	Children out of school, primary				1297786.0		
South Sudan	Children out of school, primary, female				682632.0		
South Sudan	Children out of school, primary, male				615154.0		
South Sudan	Children with fever receiving antimalarial drugs (% of children under age 5 with fever)		31.9				
South Sudan	Claims on central government (annual growth as % of broad money)	103.450645499277	23.797879863916002	77.3606282598977	69.405199097619	16.405507016670402	12.4123108882636
South Sudan	Claims on central government, etc. (% GDP)	4.6125624980293	7.03059041489313	18.198301946637002	30.4383095595166	11.4128870262738	
South Sudan	Claims on other sectors of the domestic economy (% of GDP)	1.29715459921172	1.4892979461133502	1.67375978349497	2.23440873926612	1.9551933924243399	
South Sudan	Claims on other sectors of the domestic economy (annual growth as % of broad money)	3.5466304234508996	3.4240622067095	1.37750262521575	3.1851561874914505	10.5988662582837	13.4249409863432
South Sudan	Claims on private sector (annual growth as % of broad money)	3.54892889708953	3.2522604215298903	1.99643610456884	3.18518321592634	10.565934679846901	13.4234127139746
South Sudan	CO2 emissions (kg per 2010 US$ of GDP)						
South Sudan	CO2 emissions (kg per 2011 PPP $ of GDP)	0.07936939285049299	0.0667830223262913	0.0670234678242488			
South Sudan	CO2 emissions (kg per PPP $ of GDP)	0.07793381191232801	0.0645328846491994	0.0636233959655969			
South Sudan	CO2 emissions (kt)	1331.121	1448.465	1496.136			
South Sudan	CO2 emissions (metric tons per capita)	0.12304393184189201	0.129587680239481	0.12974935068347698			
South Sudan	CO2 emissions from electricity and heat production, total (% of total fuel combustion)	26.388888888888896	30.612244897959197	30.9210526315789			
South Sudan	CO2 emissions from gaseous fuel consumption (% of total)	0.0	0.0	0.0			
South Sudan	CO2 emissions from gaseous fuel consumption (kt)	0.0	0.0	0.0			
South Sudan	CO2 emissions from liquid fuel consumption (% of total)	100.0	100.0	100.0			
South Sudan	CO2 emissions from liquid fuel consumption (kt)	1331.121	1448.465	1496.136			
South Sudan	CO2 emissions from manufacturing industries and construction (% of total fuel combustion)	1.38888888888889	0.6802721088435381	0.657894736842105			
South Sudan	CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)	4.16666666666667	3.4013605442176904	3.28947368421053			
South Sudan	CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)	0.694444444444445	0.6802721088435381	0.657894736842105			
South Sudan	CO2 emissions from solid fuel consumption (% of total)	0.0	0.0	0.0			
South Sudan	CO2 emissions from solid fuel consumption (kt)	0.0	0.0	0.0			
South Sudan	CO2 emissions from transport (% of total fuel combustion)	67.3611111111111	65.3061224489796	65.1315789473684			
South Sudan	CO2 intensity (kg per kg of oil equivalent energy use)	2.06717313757798	2.13906076940117	2.1366290029590203			
South Sudan	Coal rents (% of GDP)	0.0	0.0	0.0	0.0		
South Sudan	Combustible renewables and waste (% of total energy)	25.415998248264998	23.0448202023185	23.1274777502314			
South Sudan	Commercial bank branches (per 100,000 adults)	0.891249277075302	1.3580038404973	1.73112836753391	1.45314641801588	1.4489719895426398	1.25426176333935
South Sudan	Commercial banks and other lending (PPG + PNG) (NFL, current US$)						
South Sudan	Commercial service exports (current US$)			29304955.2	96470000.0	177870000.0	
South Sudan	Commercial service imports (current US$)			476260967.437334	772790000.0	335370000.0	
South Sudan	Commitments, IBRD (COM, current US$)						
South Sudan	Commitments, IDA (COM, current US$)						
South Sudan	Commitments, official creditors (COM, current US$)						
South Sudan	Commitments, private creditors (COM, current US$)						
South Sudan	Commitments, public and publicly guaranteed (COM, current US$)						
South Sudan	Communications, computer, etc. (% of service exports, BoP)			49.1514744764521	38.705021136199605	33.9967391915444	
South Sudan	Communications, computer, etc. (% of service imports, BoP)			27.8392938816255	17.3044449962751	20.143948818197998	
South Sudan	Community health workers (per 1,000 people)						
South Sudan	Compensation of employees (% of expense)						
South Sudan	Compensation of employees (current LCU)						
South Sudan	Completeness of birth registration (%)						
South Sudan	Completeness of birth registration, female (%)						
South Sudan	Completeness of birth registration, male (%)						
South Sudan	Completeness of birth registration, rural (%)						
South Sudan	Completeness of birth registration, urban (%)						
South Sudan	Completeness of death registration with cause-of-death information (%)						
South Sudan	Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)						
South Sudan	Completeness of total death reporting (% of reported total deaths to estimated total deaths)						
South Sudan	Compulsory education, duration (years)	8.0	8.0	8.0	8.0	8.0	
South Sudan	Computer, communications and other services (% of commercial service exports)			37.853770921308204	38.3746242355136	33.9967391915444	
South Sudan	Computer, communications and other services (% of commercial service imports)			23.8306013665312	13.8148785569171	19.6081939350568	
South Sudan	Concessional debt (% of total external debt)						
South Sudan	Condom use, population ages 15-24, female (% of females ages 15-24)						
South Sudan	Condom use, population ages 15-24, male (% of males ages 15-24)						
South Sudan	Consumer price index (2010 = 100)	213.70794911486198	213.623788091098	217.15973944332	331.851900274761	1592.38477480642	4583.70546162581
South Sudan	Consumption of iodized salt (% of households)						
South Sudan	Container port traffic (TEU: 20 foot equivalent units)						
South Sudan	Contraceptive prevalence, any methods (% of women ages 15-49)						
South Sudan	Contraceptive prevalence, modern methods (% of women ages 15-49)						
South Sudan	Contributing family workers, female (% of female employment) (modeled ILO estimate)	45.986000061035206	43.103000640869105	44.1520004272461	45.59700012207029	47.779998779296896	47.6689987182617
South Sudan	Contributing family workers, male (% of male employment) (modeled ILO estimate)	15.3660001754761	18.7549991607666	16.7689990997314	17.3850002288818	17.548999786377	17.3850002288818
South Sudan	Contributing family workers, total (% of total employment) (modeled ILO estimate)	30.169000625610398	30.4909992218018	30.0289993286133	31.0830001831055	32.2350006103516	32.0789985656738
South Sudan	Cost of business start-up procedures (% of GNI per capita)	192.3	372.1	242.4	330.1	422.4	305.0
South Sudan	Cost of business start-up procedures, female (% of GNI per capita)	192.3	372.1	242.4	330.1	422.4	305.0
South Sudan	Cost of business start-up procedures, male (% of GNI per capita)	192.3	372.1	242.4	330.1	422.4	305.0
South Sudan	Cost to export, border compliance (US$)			763.0	763.0	763.0	763.0
South Sudan	Cost to export, documentary compliance (US$)			194.0	194.0	194.0	194.0
South Sudan	Cost to import, border compliance (US$)			781.0	781.0	781.0	781.0
South Sudan	Cost to import, documentary compliance (US$)			350.0	350.0	350.0	350.0
South Sudan	Coverage of social insurance programs (% of population)						
South Sudan	Coverage of social insurance programs in 2nd quintile (% of population)						
South Sudan	Coverage of social insurance programs in 3rd quintile (% of population)						
South Sudan	Coverage of social insurance programs in 4th quintile (% of population)						
South Sudan	Coverage of social insurance programs in poorest quintile (% of population)						
South Sudan	Coverage of social insurance programs in richest quintile (% of population)						
South Sudan	Coverage of social protection and labor programs (% of population)						
South Sudan	Coverage of social safety net programs (% of population)						
South Sudan	Coverage of social safety net programs in 2nd quintile (% of population)						
South Sudan	Coverage of social safety net programs in 3rd quintile (% of population)						
South Sudan	Coverage of social safety net programs in 4th quintile (% of population)						
South Sudan	Coverage of social safety net programs in poorest quintile (% of population)						
South Sudan	Coverage of social safety net programs in richest quintile (% of population)						
South Sudan	Coverage of unemployment benefits and ALMP (% of population)						
South Sudan	Coverage of unemployment benefits and ALMP in 2nd quintile (% of population)						
South Sudan	Coverage of unemployment benefits and ALMP in 3rd quintile (% of population)						
South Sudan	Coverage of unemployment benefits and ALMP in 4th quintile (% of population)						
South Sudan	Coverage of unemployment benefits and ALMP in poorest quintile (% of population)						
South Sudan	Coverage of unemployment benefits and ALMP in richest quintile (% of population)						
South Sudan	CPIA building human resources rating (1=low to 6=high)	2.5	2.5	2.5	2.5	2.5	2.5
South Sudan	CPIA business regulatory environment rating (1=low to 6=high)	2.5	2.5	2.0	2.0	2.0	2.0
South Sudan	CPIA debt policy rating (1=low to 6=high)	1.5	1.5	1.5	1.5	1.0	1.0
South Sudan	CPIA economic management cluster average (1=low to 6=high)	1.8333333333333302	1.8333333333333302	1.83333	1.5	1.0	1.0
South Sudan	CPIA efficiency of revenue mobilization rating (1=low to 6=high)	2.0	2.0	2.0	2.0	2.0	2.0
South Sudan	CPIA equity of public resource use rating (1=low to 6=high)	2.5	2.5	2.0	2.0	2.0	2.0
South Sudan	CPIA financial sector rating (1=low to 6=high)	2.5	2.5	2.5	2.5	2.0	2.0
South Sudan	CPIA fiscal policy rating (1=low to 6=high)	2.0	2.0	2.0	1.5	1.0	1.0
South Sudan	CPIA gender equality rating (1=low to 6=high)	2.5	2.5	2.5	2.5	2.0	2.0
South Sudan	CPIA macroeconomic management rating (1=low to 6=high)	2.0	2.0	2.0	1.5	1.0	1.0
South Sudan	CPIA policies for social inclusion/equity cluster average (1=low to 6=high)	2.3	2.2	2.1	2.1	1.8	1.7
South Sudan	CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)	2.5	2.0	2.0	2.0	1.0	1.0
South Sudan	CPIA property rights and rule-based governance rating (1=low to 6=high)	2.0	2.0	1.5	1.5	1.5	1.5
South Sudan	CPIA public sector management and institutions cluster average (1=low to 6=high)	2.0	2.0	1.9	1.7	1.5	1.4
South Sudan	CPIA quality of budgetary and financial management rating (1=low to 6=high)	2.0	2.0	2.0	1.5	1.0	1.0
South Sudan	CPIA quality of public administration rating (1=low to 6=high)	2.0	2.0	2.0	2.0	1.5	1.0
South Sudan	CPIA social protection rating (1=low to 6=high)	1.5	1.5	1.5	1.5	1.5	1.0
South Sudan	CPIA structural policies cluster average (1=low to 6=high)	2.3333333333333304	2.3333333333333304	2.16667	2.16667	2.0	2.0
South Sudan	CPIA trade rating (1=low to 6=high)	2.0	2.0	2.0	2.0	2.0	2.0
South Sudan	CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)	2.0	2.0	2.0	1.5	1.5	1.5
South Sudan	Crop production index (2004-2006 = 100)						
South Sudan	Currency composition of PPG debt, all other currencies (%)						
South Sudan	Currency composition of PPG debt, Deutsche mark (%)						
South Sudan	Currency composition of PPG debt, Euro (%)						
South Sudan	Currency composition of PPG debt, French franc (%)						
South Sudan	Currency composition of PPG debt, Japanese yen (%)						
South Sudan	Currency composition of PPG debt, Multiple currencies (%)						
South Sudan	Currency composition of PPG debt, Pound sterling (%)						
South Sudan	Currency composition of PPG debt, SDR (%)						
South Sudan	Currency composition of PPG debt, Swiss franc (%)						
South Sudan	Currency composition of PPG debt, U.S. dollars (%)						
South Sudan	Current account balance (% of GDP)			-6.19483586970224	-28.3046430879287	-86.08784718607781	
South Sudan	Current account balance (BoP, current US$)			-935399216.8814119	-3087150000.0	-2500090000.0	
South Sudan	Current education expenditure, primary (% of total expenditure in primary public institutions)		98.49176999999999	77.78374000000001	100.0	100.0	
South Sudan	Current education expenditure, secondary (% of total expenditure in secondary public institutions)		97.07078	92.47358	100.0	100.0	
South Sudan	Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)		100.0	90.19655	100.0	100.0	
South Sudan	Current education expenditure, total (% of total expenditure in public institutions)		98.742	83.46189	100.0	100.0	
South Sudan	Current health expenditure (% of GDP)	2.57274952	2.14817939	2.10564455	2.53095944		
South Sudan	Current health expenditure per capita (current US$)	24.71572236	26.31796339	29.32940288	28.04670336		
South Sudan	Current health expenditure per capita, PPP (current international $)	47.62337098	45.5916331	53.36565627	71.16543519		
South Sudan	Customs and other import duties (% of tax revenue)						
South Sudan	Customs and other import duties (current LCU)						
South Sudan	Death rate, crude (per 1,000 people)	12.116	11.811	11.52	11.244000000000002	10.982000000000001	
South Sudan	Debt buyback (current US$)						
South Sudan	Debt forgiveness grants (current US$)						
South Sudan	Debt forgiveness or reduction (current US$)						
South Sudan	Debt service (PPG and IMF only, % of exports of goods, services and primary income)						
South Sudan	Debt service on external debt, long-term (TDS, current US$)						
South Sudan	Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)						
South Sudan	Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)						
South Sudan	Debt service on external debt, total (TDS, current US$)						
South Sudan	Debt stock reduction (current US$)						
South Sudan	Debt stock rescheduled (current US$)						
South Sudan	DEC alternative conversion factor (LCU per US$)	2.95	2.95	2.95	4.0892583333	49.4067916667	
South Sudan	Delay in obtaining an electrical connection (days)			9.7			
South Sudan	Demand for family planning satisfied by modern methods (% of married women with demand for family planning)						
South Sudan	Deposit interest rate (%)	1.9791885016055801	1.3627299734591898	1.3930815772703702	1.19666338224756	1.0195162978418701	0.7117237650654309
South Sudan	Depositors with commercial banks (per 1,000 adults)	27.306581487002397	37.2264753931265	52.0360628661525	66.4273915774763	70.0845243039026	70.4325239891195
South Sudan	Depth of credit information index (0=low to 8=high)		0.0	0.0	0.0	0.0	0.0
South Sudan	Depth of the food deficit (kilocalories per person per day)						
South Sudan	Diabetes prevalence (% of population ages 20 to 79)						10.43
South Sudan	Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)						
South Sudan	Diarrhea treatment (% of children under 5 who received ORS packet)						
