Country	County	Value	Month	State	Year	Variable	Unit	Source
South Sudan	Ezo	1	7	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Mayendit	1	7	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Koch	1	7	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Ibba	1	7	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Cueibet	1	7	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Gogrial East	1	7	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Fangak	1	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Kajo-Keji	1	7	Central Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Panyijiar	1	7	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Lopa/Lafon	1	7	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Canal/Pigi	1	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Magwi	2	7	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Ikotos	2	7	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Kapoeta South	2	7	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Budi	2	7	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Torit	2	7	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Kapoeta North	2	7	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Kapoeta East	2	7	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Yirol East	2	7	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Aweil South	2	7	Northern Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Aweil Centre	2	7	Northern Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Aweil West	2	7	Northern Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Aweil North	2	7	Northern Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Aweil East	2	7	Northern Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Mayom	2	7	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Rubkona	2	7	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Pariang	2	7	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Gogrial West	2	7	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Twic	2	7	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Wau	2	7	Western Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Jur River	2	7	Western Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Raga	2	7	Western Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Bor South	2	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Pibor	2	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Twic East	2	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Pochalla	2	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Duk	2	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Akobo	2	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Ayod	2	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Nyirol	2	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Ulang	2	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Maiwut	2	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Longochuk	2	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Longochuk	2	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Panyikang	2	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Malakal	2	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Baliet	2	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Fashoda	2	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Melut	2	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Maban	2	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Abiemnhom	2	7	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Uror	2	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Fangak	2	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Lopa/Lafon	2	7	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Canal/Pigi	2	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Canal/Pigi	2	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Aweil East	3	7	Northern Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Tonj North	3	7	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Gogrial West	3	7	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Twic	3	7	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Duk	3	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Ayod	3	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Nyirol	3	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Ulang	3	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Maiwut	3	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Luakpiny/Nasir	3	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Longochuk	3	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Baliet	3	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Gogrial East	3	7	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Uror	3	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Canal/Pigi	3	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Pibor	4	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Pochalla	4	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Akobo	4	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Nyirol	4	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Uror	4	7	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Longochuk	99	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Baliet	99	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Melut	99	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Renk	99	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Maban	99	7	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Morobo	1	10	Central Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Lainya	1	10	Central Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Yei	1	10	Central Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Juba	1	10	Central Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Terekeka	1	10	Central Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Yirol West	1	10	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Wulu	1	10	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Wulu	1	10	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Rumbek East	1	10	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Rumbek North	1	10	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Rumbek Centre	1	10	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Yirol East	1	10	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Leer	1	10	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Mayom	1	10	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Guit	1	10	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Rubkona	1	10	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Pariang	1	10	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Tonj East	1	10	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Wau	1	10	Western Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Jur River	1	10	Western Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Raga	1	10	Western Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Maridi	1	10	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Mundri West	1	10	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Mundri East	1	10	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Yambio	1	10	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Nzara	1	10	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Mvolo	1	10	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Mvolo	1	10	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Tambura	1	10	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Nagero	1	10	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Ayod	1	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Longochuk	1	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Panyikang	1	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Malakal	1	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Baliet	1	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Fashoda	1	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Melut	1	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Manyo	1	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Renk	1	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Maban	1	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Ezo	1	10	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Mayendit	1	10	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Koch	1	10	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Ibba	1	10	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Cueibet	1	10	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Fangak	1	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Kajo-Keji	1	10	Central Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Panyijiar	1	10	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Lopa/Lafon	1	10	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Canal/Pigi	1	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Yei	2	10	Central Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Juba	2	10	Central Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Juba	2	10	Central Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Terekeka	2	10	Central Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Magwi	2	10	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Ikotos	2	10	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Kapoeta South	2	10	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Budi	2	10	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Torit	2	10	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Kapoeta North	2	10	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Kapoeta East	2	10	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Awerial	2	10	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Wulu	2	10	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Yirol East	2	10	Lakes	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Aweil South	2	10	Northern Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Aweil Centre	2	10	Northern Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Aweil West	2	10	Northern Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Aweil North	2	10	Northern Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Aweil East	2	10	Northern Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Leer	2	10	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Mayom	2	10	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Rubkona	2	10	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Pariang	2	10	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Tonj South	2	10	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Tonj East	2	10	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Tonj North	2	10	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Gogrial West	2	10	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Twic	2	10	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Wau	2	10	Western Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Jur River	2	10	Western Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Raga	2	10	Western Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Maridi	2	10	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Yambio	2	10	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Nzara	2	10	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Mvolo	2	10	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Bor South	2	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Bor South	2	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Pibor	2	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Twic East	2	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Pochalla	2	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Duk	2	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Ayod	2	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Nyirol	2	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Ulang	2	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Maiwut	2	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Luakpiny/Nasir	2	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Longochuk	2	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Panyikang	2	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Baliet	2	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Melut	2	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Maban	2	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Ezo	2	10	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Abiemnhom	2	10	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Mayendit	2	10	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Koch	2	10	Unity	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Ibba	2	10	Western Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Uror	2	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Fangak	2	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Kajo-Keji	2	10	Central Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Lopa/Lafon	2	10	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Canal/Pigi	2	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Kapoeta North	3	10	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Aweil East	3	10	Northern Bahr el Ghazal	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Tonj East	3	10	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Tonj North	3	10	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Gogrial West	3	10	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Twic	3	10	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Bor South	3	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Pibor	3	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Pochalla	3	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Duk	3	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Akobo	3	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Ayod	3	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Nyirol	3	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Ulang	3	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Maiwut	3	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Luakpiny/Nasir	3	10	Upper Nile	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Gogrial East	3	10	Warrap	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Uror	3	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Lopa/Lafon	3	10	Eastern Equatoria	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Canal/Pigi	3	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Pibor	4	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Pochalla	4	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Akobo	4	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Nyirol	4	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Uror	4	10	Jonglei	2009	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Morobo	1	1	Central Equatoria	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Lainya	1	1	Central Equatoria	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Yei	1	1	Central Equatoria	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Juba	1	1	Central Equatoria	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Terekeka	1	1	Central Equatoria	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Awerial	1	1	Lakes	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Yirol West	1	1	Lakes	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Wulu	1	1	Lakes	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Rumbek East	1	1	Lakes	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Rumbek North	1	1	Lakes	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Rumbek Centre	1	1	Lakes	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Yirol East	1	1	Lakes	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Aweil South	1	1	Northern Bahr el Ghazal	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Aweil Centre	1	1	Northern Bahr el Ghazal	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Aweil West	1	1	Northern Bahr el Ghazal	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Aweil North	1	1	Northern Bahr el Ghazal	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Aweil East	1	1	Northern Bahr el Ghazal	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Guit	1	1	Unity	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Rubkona	1	1	Unity	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Pariang	1	1	Unity	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Tonj South	1	1	Warrap	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Tonj East	1	1	Warrap	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Tonj North	1	1	Warrap	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Gogrial West	1	1	Warrap	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Wau	1	1	Western Bahr el Ghazal	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Jur River	1	1	Western Bahr el Ghazal	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Raga	1	1	Western Bahr el Ghazal	2010	IPC Phase Classification	IPC Phase	FEWSNET
South Sudan	Maridi	1	1	Western Equatoria	2010	IPC Phase Classification	IPC Phase	FEWSNET
