Indicator Name|Unit|1961|1962|1963|1964|1965|1966|1967|1968|1969|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2010-2012|2011|2011-2013|2012|2012-2014|2013|2014|2014-2016|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060|2061|2062|2063|2064|2065|2066|2067|2068|2069|2070|2071|2072|2073|2074|2075|2076|2077|2078|2079|2080|2081|2082|2083|2084|2085|2086|2087|2088|2089|2090|2091|2092|2093|2094|2095|2096|2097|2098|2099|2100
Amount excreted in manure (N content), Chickens, layers|kg||||||||||||||||||||||||||||||||||||||||||||||||||||||2497006.031392||2642793.032429|2547851.000612||2595373.805782|2644342.727603||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Amount excreted in manure (N content), Goats|kg||||||||||||||||||||||||||||||||||||||||||||||||||||||202520250.0||203270325.0|203270325.0||203295314.128823|203552972.356249||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Amount excreted in manure (N content), Mules and Asses|kg||||||||||||||||||||||||||||||||||||||||||||||||||||||6548100.0||6984640.0|7202910.0||7478340.619258|7862240.836003998||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Amount excreted in manure (N content), Poultry Birds|kg||||||||||||||||||||||||||||||||||||||||||||||||||||||6242434.912776||6290437.949701998|6259176.548982||6274824.301904|6290948.215186||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Amount excreted in manure (N content), Sheep|kg||||||||||||||||||||||||||||||||||||||||||||||||||||||187731180.0||191318400.0|200286450.0||206244608.572926|210354380.110275||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Amount excreted in manure (N content), Sheep and Goats|kg||||||||||||||||||||||||||||||||||||||||||||||||||||||390251430.0||394588725.0|403556775.0||409539922.701749|413907352.466524||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth Local Currency, Gross Domestic Product|%|||||||||||||||||||||||||||||||||||||||||||||||||-11.880296|24.431685||51.637264||-46.905644||40.315188|18.022776||17.280161|488.813241||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth Local Currency, Gross Fixed Capital Formation|%|||||||||||||||||||||||||||||||||||||||||||||||||-13.874188|-3.285107||35.53792100000001||-31.505034||29.590805|1.457349||16.826268|264.018349||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth Local Currency, Gross Output (Agriculture)|%|||||||||||||||||||||||||||||||||||||||||||||||||16.327617|25.311444||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth Local Currency, Gross Output (Agriculture, Forestry and Fishing)|%|||||||||||||||||||||||||||||||||||||||||||||||||16.327617|25.311444||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth Local Currency, Value Added (Agriculture)|%|||||||||||||||||||||||||||||||||||||||||||||||||16.324791|25.307333||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth Local Currency, Value Added (Agriculture, Forestry and Fishing)|%|||||||||||||||||||||||||||||||||||||||||||||||||17.702853|22.008118||35.396203||-52.295216||62.619942|22.234448||-7.035206|521.90757||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth Local Currency, Value Added (Total Manufacturing)|%|||||||||||||||||||||||||||||||||||||||||||||||||34.281319|7.453028999999999||90.396336||-49.084342||18.7325|-3.400515||12.834701|511.086501||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth US$, 2005 prices, Value Added (Agriculture, Forestry and Fishing)|%|||||||||||||||||||||||||||||||||||||||||||||||||40.650672|3.023674||-14.694347||-51.550404||46.764182|19.588858||-4.542555|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth US$, Agriculture, forestry, fishing (Central Government)|%|||||||||||||||||||||||||||||||||||||||||||||||-39.45|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth US$, DFA Commitment to Agriculture, Forestry and Fishing|%||||||||||||||||||||||||||||||||||||||||||||||||||||||106.74||186.49|-74.91||160.94|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth US$, Gross Domestic Product|%|||||||||||||||||||||||||||||||||||||||||||||||||-19.973121|24.190614||16.989468||-46.204619||40.315188|18.022776||-15.393832000000002|-51.265618||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth US$, Gross Domestic Product per capita|%|||||||||||||||||||||||||||||||||||||||||||||||||-23.345529|19.299014||12.716198||-48.041519||35.805615|14.404797||-17.894285999999994|-52.654621||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth US$, Gross Fixed Capital Formation|%|||||||||||||||||||||||||||||||||||||||||||||||||-21.783896|-3.4724800000000005||4.5686849999999986||-30.600668||29.590805|1.457349||-15.721272|-69.871246||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth US$, Gross National Income|%|||||||||||||||||||||||||||||||||||||||||||||||||-21.471105|27.343907||21.393746||-38.448031||14.665298000000002|7.138737||-17.121247|-55.893554||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth US$, Gross Output (Agriculture)|%|||||||||||||||||||||||||||||||||||||||||||||||||5.64421|25.068668||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth US$, Gross Output (Agriculture, Forestry and Fishing)|%|||||||||||||||||||||||||||||||||||||||||||||||||5.64421|25.068668||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth US$, Value Added (Agriculture)|%|||||||||||||||||||||||||||||||||||||||||||||||||5.64165|25.064558||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth US$, Value Added (Agriculture, Forestry and Fishing)|%|||||||||||||||||||||||||||||||||||||||||||||||||6.2673925|23.418153500000003||2.9517810000000004||-49.639455999999996||57.611121|21.5124915||-28.1177865|-48.526496||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth US$, Value Added (Total Manufacturing)|%|||||||||||||||||||||||||||||||||||||||||||||||||21.949058|7.244852000000002||46.892429||-48.412083||18.7325|-3.400515||-18.600797|-49.422124||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth, Local Currency, 2010 prices, Gross Domestic Product|%|||||||||||||||||||||||||||||||||||||||||||||||||7.376571|-1.808742||1.856517||-51.52357||30.222873|22.240146||5.055958|0.319062||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth, Local Currency, 2010 prices, Gross Fixed Capital Formation|%|||||||||||||||||||||||||||||||||||||||||||||||||-19.838713|-7.804397||3.88942||-49.706288||25.647236|-1.6449619999999998||-17.93554|-26.881435||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth, Local Currency, 2010 prices, Value Added (Agriculture, Forestry and Fishing)|%|||||||||||||||||||||||||||||||||||||||||||||||||43.42455|-3.721222||-9.052793||-56.44438||50.923334|26.602316||-16.724999|5.957509||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth, Local Currency, 2010 prices, Value Added (Total Manufacturing)|%|||||||||||||||||||||||||||||||||||||||||||||||||63.625921|-15.206903||27.891437||-53.512774||10.192542|0.051326||1.073851|4.113869||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth, US$, 2010 prices, Gross Domestic Product|%|||||||||||||||||||||||||||||||||||||||||||||||||7.376571|-1.808742||1.856517||-51.52357||30.222873|22.240146||5.055958|0.319062||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth, US$, 2010 prices, Gross Domestic Product per capita|%|||||||||||||||||||||||||||||||||||||||||||||||||2.8516220000000003|-5.676284||-1.863992||-53.17885||26.037656|18.492884||1.951131|-2.54018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth, US$, 2010 prices, Gross Fixed Capital Formation|%|||||||||||||||||||||||||||||||||||||||||||||||||-19.838713|-7.804397||3.88942||-49.706288||25.647236|-1.6449619999999998||-17.93554|-26.881435||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth, US$, 2010 prices, Value Added (Agriculture, Forestry and Fishing)|%|||||||||||||||||||||||||||||||||||||||||||||||||43.42455|-3.721222||-9.052793||-56.44438||50.923334|26.602316||-16.724999|5.957509||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annual growth, US$, 2010 prices, Value Added (Total Manufacturing)|%|||||||||||||||||||||||||||||||||||||||||||||||||63.625921|-15.206903||27.891437||-53.512774||10.192542|0.051326||1.073851|4.113869||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Bananas|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Beans, dry|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||1680.0||1500.0|1340.0||1036.0|819.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Beans, green|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||160.0||200.0|225.0||241.0|256.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Broad beans, horse beans, dry|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Cabbages and other brassicas|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Carrots and turnips|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Cassava|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||78000.0||82000.0|99523.0||84202.0|84453.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Castor oil seed|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Cauliflowers and broccoli|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Cereals (Rice Milled Eqv)|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||1141000.0||1173000.0|1013451.0||658706.0|545719.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Cereals,Total|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||1141000.0||1173000.0|1013451.0||658706.0|545719.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Chick peas|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Chillies and peppers, dry|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||2500.0||3000.0|3500.0||4797.0|4303.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Chillies and peppers, green|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Citrus Fruit,Total|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||1700.0||1750.0|1800.0||1868.0|1943.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Coarse Grain, Total|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||1141000.0||1173000.0|1013451.0||658706.0|545719.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Cow peas, dry|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Cucumbers and gherkins|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Dates|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Eggplants (aubergines)|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Fruit Primary|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||68000.0||74950.0|81100.0||87161.0|94928.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Fruit, fresh nes|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||54000.0||60000.0|65000.0||69720.0|76143.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Fruit, tropical fresh nes|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||9500.0||10000.0|11000.0||12002.0|12999.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Garlic|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Grapefruit (inc. pomelos)|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Groundnuts, with shell|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||190000.0||226000.0|235000.0||258731.0|287035.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Lemons and limes|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Maize|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||286000.0||322000.0|278000.0||133236.0|94308.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Mangoes, mangosteens, guavas|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Melons, other (inc.cantaloupes)|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||2000.0||2200.0|2300.0||2406.0|2552.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Melonseed|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||30000.0||40000.0|36000.0||34112.0|34940.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Millet|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||12000.0||10000.0|10951.0||6792.0|4897.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Okra|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Onions, dry|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Oranges|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Peas, green|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Pineapples|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||800.0||1000.0|1000.0||1165.0|1291.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Potatoes|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Pulses, nes|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||33000.0||32000.0|36000.0||37002.0|36845.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Pulses,Total|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||34680.0||33500.0|37340.0||38038.0|37664.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Pumpkins, squash and gourds|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||3000.0||4000.0|4000.0||4586.0|5120.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Rice, paddy|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Roots and Tubers,Total|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||95000.0||101000.0|120203.0||106010.0|107461.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Seed cotton|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Sesame seed|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||750000.0||700000.0|580000.0||611873.0|611644.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Sorghum|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||843000.0||841000.0|724500.0||518678.0|446514.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Sugar cane|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Sunflower seed|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||25000.0||22000.0|32000.0||32640.0|35214.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Sweet potatoes|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Tangerines, mandarins, clementines, satsumas|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||1700.0||1750.0|1800.0||1868.0|1943.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Tomatoes|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Vegetables Primary|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||48160.0||54200.0|56225.0||61397.0|68033.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Vegetables, fresh nes|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||45000.0||50000.0|52000.0||56570.0|62656.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Watermelons|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Wheat|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area harvested, Yams|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||17000.0||19000.0|20680.0||21809.0|23009.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area, Agricultural area|1000 ha||||||||||||||||||||||||||||||||||||||||||||||||||||28533.2||28533.2||28533.2|28533.2||28533.2|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area, Agricultural area certified organic|1000 ha|||||||||||||||||||||||||||||||||||||||||||||||||||||||||121.0||121.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area, Agricultural area in conversion to organic|1000 ha|||||||||||||||||||||||||||||||||||||||||||||||||||||||||9.0||9.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area, Agricultural area organic, total|1000 ha|||||||||||||||||||||||||||||||||||||||||||||||||||||||||130.0||130.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area, Arable land and Permanent crops|1000 ha||||||||||||||||||||||||||||||||||||||||||||||||||||2760.0||2760.0||2760.0|2760.0||2760.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area, Cropland and grassland organic soils|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||18639.4265||18639.4265|18639.4265|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area, Cropland organic soils|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||10231.6||10231.6|10231.6|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area, Forest|1000 ha||||||||||||||||||||||||||||||||||||||||||||||||||||7157.0||7157.0||7157.0|7157.0||7157.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area, Grassland organic soils|ha||||||||||||||||||||||||||||||||||||||||||||||||||||||8407.8265||8407.8265|8407.8265|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area, Other naturally regenerated forest|1000 ha||||||||||||||||||||||||||||||||||||||||||||||||||||7157.0||7157.0||7157.0|7157.0||7157.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area, Permanent meadows and pastures|1000 ha||||||||||||||||||||||||||||||||||||||||||||||||||||25773.2||25773.2||25773.2|25773.2||25773.2|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area, Planted forest|1000 ha||||||||||||||||||||||||||||||||||||||||||||||||||||0.0||0.0||0.0|0.0||0.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area, Primary forest|1000 ha||||||||||||||||||||||||||||||||||||||||||||||||||||0.0||0.0||0.0|0.0||0.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Area, Total area equipped for irrigation|1000 ha||||||||||||||||||||||||||||||||||||||||||||||||||||38.1||38.1||38.1|38.1||38.1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Biomass burned (dry matter), All Crops|tonnes||||||||||||||||||||||||||||||||||||||||||||||||||||||286000.0||322000.0|278000.0||133235.8513|94308.0611||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
